Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,1747,2122,3869,Bago,MMR007001
 Bungalow/Brick house,7071,1792,8863,Bago,MMR007001
 Semi-pacca house,7287,2605,9892,Bago,MMR007001
 Wooden house,28544,28310,56854,Bago,MMR007001
 Bamboo,9252,15155,24407,Bago,MMR007001
 Hut 2 - 3 years,451,1280,1731,Bago,MMR007001
 Hut 1 year,277,795,1072,Bago,MMR007001
 Other,263,181,444,Bago,MMR007001
 Total,54892,52240,107132,Bago,MMR007001
