Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,7556,-,7556,Ahlon,MMR013037
 Bungalow/Brick house,531,-,531,Ahlon,MMR013037
 Semi-pacca house,652,-,652,Ahlon,MMR013037
 Wooden house,1770,-,1770,Ahlon,MMR013037
 Bamboo,366,-,366,Ahlon,MMR013037
 Hut 2 - 3 years,12,-,12,Ahlon,MMR013037
 Hut 1 year,11,-,11,Ahlon,MMR013037
 Other,45,-,45,Ahlon,MMR013037
 Total,10943,-,10943,Ahlon,MMR013037
