Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,2,-,2,Reazu(ST),MMR004007
 Bungalow/Brick house,14,-,14,Reazu(ST),MMR004007
 Semi-pacca house,16,2,18,Reazu(ST),MMR004007
 Wooden house,427,1957,2384,Reazu(ST),MMR004007
 Bamboo,2,90,92,Reazu(ST),MMR004007
 Hut 2 - 3 years,1,5,6,Reazu(ST),MMR004007
 Other,-,5,5,Reazu(ST),MMR004007
 Total,462,2059,2521,Reazu(ST),MMR004007
