Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,15,1,16,Kyeintali(ST),MMR012017
 Bungalow/Brick house,26,6,32,Kyeintali(ST),MMR012017
 Semi-pacca house,60,57,117,Kyeintali(ST),MMR012017
 Wooden house,1192,3572,4764,Kyeintali(ST),MMR012017
 Bamboo,160,755,915,Kyeintali(ST),MMR012017
 Hut 2 - 3 years,13,138,151,Kyeintali(ST),MMR012017
 Hut 1 year,3,68,71,Kyeintali(ST),MMR012017
 Other,6,9,15,Kyeintali(ST),MMR012017
 Total,1475,4606,6081,Kyeintali(ST),MMR012017
