Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,46,2,48,Kongyan,MMR015023
 Bungalow/Brick house,91,156,247,Kongyan,MMR015023
 Semi-pacca house,26,763,789,Kongyan,MMR015023
 Wooden house,9,954,963,Kongyan,MMR015023
 Bamboo,15,2344,2359,Kongyan,MMR015023
 Hut 2 - 3 years,-,15,15,Kongyan,MMR015023
 Other,7,1034,1041,Kongyan,MMR015023
 Total,194,5268,5462,Kongyan,MMR015023
