Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,202,85,287,Loilem,MMR014011
 Bungalow/Brick house,570,916,1486,Loilem,MMR014011
 Semi-pacca house,370,335,705,Loilem,MMR014011
 Wooden house,1376,2338,3714,Loilem,MMR014011
 Bamboo,317,4275,4592,Loilem,MMR014011
 Hut 2 - 3 years,3,43,46,Loilem,MMR014011
 Hut 1 year,1,13,14,Loilem,MMR014011
 Other,14,43,57,Loilem,MMR014011
 Total,2853,8048,10901,Loilem,MMR014011
