Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,190,105,295,Nyaunglebin,MMR007005
 Bungalow/Brick house,981,732,1713,Nyaunglebin,MMR007005
 Semi-pacca house,1185,1309,2494,Nyaunglebin,MMR007005
 Wooden house,7681,19145,26826,Nyaunglebin,MMR007005
 Bamboo,2900,9503,12403,Nyaunglebin,MMR007005
 Hut 2 - 3 years,49,518,567,Nyaunglebin,MMR007005
 Hut 1 year,32,268,300,Nyaunglebin,MMR007005
 Other,44,120,164,Nyaunglebin,MMR007005
 Total,13062,31700,44762,Nyaunglebin,MMR007005
