Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,49,565,614,Thegon,MMR008005
 Bungalow/Brick house,232,579,811,Thegon,MMR008005
 Semi-pacca house,627,1355,1982,Thegon,MMR008005
 Wooden house,2523,21532,24055,Thegon,MMR008005
 Bamboo,724,6378,7102,Thegon,MMR008005
 Hut 2 - 3 years,67,751,818,Thegon,MMR008005
 Hut 1 year,20,440,460,Thegon,MMR008005
 Other,24,84,108,Thegon,MMR008005
 Total,4266,31684,35950,Thegon,MMR008005
