Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,66,349,415,Pwint Phyu,MMR009008
 Bungalow/Brick house,165,714,879,Pwint Phyu,MMR009008
 Semi-pacca house,118,789,907,Pwint Phyu,MMR009008
 Wooden house,208,5400,5608,Pwint Phyu,MMR009008
 Bamboo,879,30382,31261,Pwint Phyu,MMR009008
 Hut 2 - 3 years,16,466,482,Pwint Phyu,MMR009008
 Hut 1 year,1,138,139,Pwint Phyu,MMR009008
 Other,1,72,73,Pwint Phyu,MMR009008
 Total,1454,38310,39764,Pwint Phyu,MMR009008
