Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,4701,3506,8207,Tachileik,MMR016009
 Bungalow/Brick house,4422,6689,11111,Tachileik,MMR016009
 Semi-pacca house,1023,2531,3554,Tachileik,MMR016009
 Wooden house,411,2895,3306,Tachileik,MMR016009
 Bamboo,336,4156,4492,Tachileik,MMR016009
 Hut 2 - 3 years,85,144,229,Tachileik,MMR016009
 Hut 1 year,17,47,64,Tachileik,MMR016009
 Other,99,117,216,Tachileik,MMR016009
 Total,11094,20085,31179,Tachileik,MMR016009
