Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,9,142,151,Kyangin,MMR017012
 Bungalow/Brick house,564,160,724,Kyangin,MMR017012
 Semi-pacca house,369,436,805,Kyangin,MMR017012
 Wooden house,3504,15085,18589,Kyangin,MMR017012
 Bamboo,798,4691,5489,Kyangin,MMR017012
 Hut 2 - 3 years,9,562,571,Kyangin,MMR017012
 Hut 1 year,4,378,382,Kyangin,MMR017012
 Other,49,97,146,Kyangin,MMR017012
 Total,5306,21551,26857,Kyangin,MMR017012
