Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,107,30,137,Minemaw,MMR015008
 Bungalow/Brick house,215,276,491,Minemaw,MMR015008
 Semi-pacca house,188,354,542,Minemaw,MMR015008
 Wooden house,236,6649,6885,Minemaw,MMR015008
 Bamboo,84,2271,2355,Minemaw,MMR015008
 Hut 2 - 3 years,9,8,17,Minemaw,MMR015008
 Hut 1 year,2,2,4,Minemaw,MMR015008
 Other,12,2,14,Minemaw,MMR015008
 Total,853,9592,10445,Minemaw,MMR015008
