Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,40,79,119,Kawhmu,MMR013028
 Bungalow/Brick house,105,534,639,Kawhmu,MMR013028
 Semi-pacca house,120,662,782,Kawhmu,MMR013028
 Wooden house,967,8318,9285,Kawhmu,MMR013028
 Bamboo,942,16938,17880,Kawhmu,MMR013028
 Hut 2 - 3 years,41,655,696,Kawhmu,MMR013028
 Hut 1 year,9,310,319,Kawhmu,MMR013028
 Other,7,65,72,Kawhmu,MMR013028
 Total,2231,27561,29792,Kawhmu,MMR013028
