Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,6127,570,6697,Zeyarthiri,MMR018001
 Bungalow/Brick house,244,709,953,Zeyarthiri,MMR018001
 Semi-pacca house,434,851,1285,Zeyarthiri,MMR018001
 Wooden house,799,9730,10529,Zeyarthiri,MMR018001
 Bamboo,523,5579,6102,Zeyarthiri,MMR018001
 Hut 2 - 3 years,14,181,195,Zeyarthiri,MMR018001
 Hut 1 year,29,29,58,Zeyarthiri,MMR018001
 Other,76,180,256,Zeyarthiri,MMR018001
 Total,8246,17829,26075,Zeyarthiri,MMR018001
