Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,124,319,443,Thanbyuzayat,MMR011004
 Bungalow/Brick house,1156,1966,3122,Thanbyuzayat,MMR011004
 Semi-pacca house,1565,2957,4522,Thanbyuzayat,MMR011004
 Wooden house,6638,13485,20123,Thanbyuzayat,MMR011004
 Bamboo,1700,3854,5554,Thanbyuzayat,MMR011004
 Hut 2 - 3 years,381,1096,1477,Thanbyuzayat,MMR011004
 Hut 1 year,101,629,730,Thanbyuzayat,MMR011004
 Other,50,213,263,Thanbyuzayat,MMR011004
 Total,11715,24519,36234,Thanbyuzayat,MMR011004
