Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,127,121,248,Minetung,MMR016008
 Bungalow/Brick house,123,74,197,Minetung,MMR016008
 Semi-pacca house,186,79,265,Minetung,MMR016008
 Wooden house,500,630,1130,Minetung,MMR016008
 Bamboo,182,2067,2249,Minetung,MMR016008
 Hut 2 - 3 years,1,157,158,Minetung,MMR016008
 Hut 1 year,-,1,1,Minetung,MMR016008
 Other,-,10,10,Minetung,MMR016008
 Total,1119,3139,4258,Minetung,MMR016008
