Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,23,143,166,Kunhing,MMR014014
 Bungalow/Brick house,368,221,589,Kunhing,MMR014014
 Semi-pacca house,435,297,732,Kunhing,MMR014014
 Wooden house,250,552,802,Kunhing,MMR014014
 Bamboo,439,1718,2157,Kunhing,MMR014014
 Hut 2 - 3 years,22,48,70,Kunhing,MMR014014
 Hut 1 year,2,28,30,Kunhing,MMR014014
 Other,3,21,24,Kunhing,MMR014014
 Total,1542,3028,4570,Kunhing,MMR014014
