Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,12,-,12,Rihkhuadal(ST),MMR004001
 Bungalow/Brick house,30,-,30,Rihkhuadal(ST),MMR004001
 Semi-pacca house,100,2,102,Rihkhuadal(ST),MMR004001
 Wooden house,447,427,874,Rihkhuadal(ST),MMR004001
 Bamboo,72,97,169,Rihkhuadal(ST),MMR004001
 Hut 2 - 3 years,1,-,1,Rihkhuadal(ST),MMR004001
 Other,8,2,10,Rihkhuadal(ST),MMR004001
 Total,670,528,1198,Rihkhuadal(ST),MMR004001
