Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,79,49,128,Einme,MMR017015
 Bungalow/Brick house,261,591,852,Einme,MMR017015
 Semi-pacca house,237,932,1169,Einme,MMR017015
 Wooden house,1713,16500,18213,Einme,MMR017015
 Bamboo,720,24677,25397,Einme,MMR017015
 Hut 2 - 3 years,4,349,353,Einme,MMR017015
 Hut 1 year,3,202,205,Einme,MMR017015
 Other,29,109,138,Einme,MMR017015
 Total,3046,43409,46455,Einme,MMR017015
