Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,62,239,301,Kaleinaung(ST),MMR006004
 Bungalow/Brick house,40,50,90,Kaleinaung(ST),MMR006004
 Semi-pacca house,68,136,204,Kaleinaung(ST),MMR006004
 Wooden house,212,1648,1860,Kaleinaung(ST),MMR006004
 Bamboo,204,1373,1577,Kaleinaung(ST),MMR006004
 Hut 2 - 3 years,6,106,112,Kaleinaung(ST),MMR006004
 Hut 1 year,5,70,75,Kaleinaung(ST),MMR006004
 Other,27,31,58,Kaleinaung(ST),MMR006004
 Total,624,3653,4277,Kaleinaung(ST),MMR006004
