Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,137,738,875,Hsipaw,MMR015014
 Bungalow/Brick house,1123,2721,3844,Hsipaw,MMR015014
 Semi-pacca house,444,1785,2229,Hsipaw,MMR015014
 Wooden house,480,9505,9985,Hsipaw,MMR015014
 Bamboo,1807,18849,20656,Hsipaw,MMR015014
 Hut 2 - 3 years,6,143,149,Hsipaw,MMR015014
 Hut 1 year,2,53,55,Hsipaw,MMR015014
 Other,10,103,113,Hsipaw,MMR015014
 Total,4009,33897,37906,Hsipaw,MMR015014
