Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,202,17,219,Minekat,MMR016002
 Bungalow/Brick house,212,163,375,Minekat,MMR016002
 Semi-pacca house,15,84,99,Minekat,MMR016002
 Wooden house,41,3569,3610,Minekat,MMR016002
 Bamboo,17,3032,3049,Minekat,MMR016002
 Hut 2 - 3 years,68,362,430,Minekat,MMR016002
 Hut 1 year,3,189,192,Minekat,MMR016002
 Other,-,51,51,Minekat,MMR016002
 Total,558,7467,8025,Minekat,MMR016002
