Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,92,213,305,Kyauktaga,MMR007006
 Bungalow/Brick house,590,1471,2061,Kyauktaga,MMR007006
 Semi-pacca house,853,3058,3911,Kyauktaga,MMR007006
 Wooden house,3990,25895,29885,Kyauktaga,MMR007006
 Bamboo,1167,12369,13536,Kyauktaga,MMR007006
 Hut 2 - 3 years,113,902,1015,Kyauktaga,MMR007006
 Hut 1 year,59,817,876,Kyauktaga,MMR007006
 Other,9,50,59,Kyauktaga,MMR007006
 Total,6873,44775,51648,Kyauktaga,MMR007006
