Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,111,6,117,Kyonpyaw,MMR017005
 Bungalow/Brick house,530,895,1425,Kyonpyaw,MMR017005
 Semi-pacca house,261,1309,1570,Kyonpyaw,MMR017005
 Wooden house,2495,15154,17649,Kyonpyaw,MMR017005
 Bamboo,2562,35583,38145,Kyonpyaw,MMR017005
 Hut 2 - 3 years,12,254,266,Kyonpyaw,MMR017005
 Hut 1 year,20,188,208,Kyonpyaw,MMR017005
 Other,8,100,108,Kyonpyaw,MMR017005
 Total,5999,53489,59488,Kyonpyaw,MMR017005
