Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,24,-,24,Taungpyoletwe(ST),MMR012009
 Bungalow/Brick house,-,4,4,Taungpyoletwe(ST),MMR012009
 Semi-pacca house,5,5,10,Taungpyoletwe(ST),MMR012009
 Wooden house,117,106,223,Taungpyoletwe(ST),MMR012009
 Bamboo,7,210,217,Taungpyoletwe(ST),MMR012009
 Hut 2 - 3 years,1,9,10,Taungpyoletwe(ST),MMR012009
 Hut 1 year,-,1,1,Taungpyoletwe(ST),MMR012009
 Other,4,13,17,Taungpyoletwe(ST),MMR012009
 Total,158,348,506,Taungpyoletwe(ST),MMR012009
