Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,183,4,187,Hkamti,MMR005033
 Bungalow/Brick house,116,5,121,Hkamti,MMR005033
 Semi-pacca house,294,36,330,Hkamti,MMR005033
 Wooden house,1063,2267,3330,Hkamti,MMR005033
 Bamboo,495,2298,2793,Hkamti,MMR005033
 Hut 2 - 3 years,7,190,197,Hkamti,MMR005033
 Hut 1 year,14,236,250,Hkamti,MMR005033
 Other,11,142,153,Hkamti,MMR005033
 Total,2183,5178,7361,Hkamti,MMR005033
