Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,14,361,375,Mineyu(ST),MMR016011
 Bungalow/Brick house,55,450,505,Mineyu(ST),MMR016011
 Semi-pacca house,49,867,916,Mineyu(ST),MMR016011
 Wooden house,76,6634,6710,Mineyu(ST),MMR016011
 Bamboo,30,2087,2117,Mineyu(ST),MMR016011
 Hut 2 - 3 years,1,94,95,Mineyu(ST),MMR016011
 Hut 1 year,-,36,36,Mineyu(ST),MMR016011
 Other,6,107,113,Mineyu(ST),MMR016011
 Total,231,10636,10867,Mineyu(ST),MMR016011
