Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,8,-,8,Homane(ST),MMR014018
 Bungalow/Brick house,31,2,33,Homane(ST),MMR014018
 Semi-pacca house,38,5,43,Homane(ST),MMR014018
 Wooden house,495,217,712,Homane(ST),MMR014018
 Bamboo,100,247,347,Homane(ST),MMR014018
 Hut 2 - 3 years,2,-,2,Homane(ST),MMR014018
 Other,-,15,15,Homane(ST),MMR014018
 Total,674,486,1160,Homane(ST),MMR014018
