Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,308,11,319,Yenangyoung,MMR009002
 Bungalow/Brick house,931,460,1391,Yenangyoung,MMR009002
 Semi-pacca house,674,559,1233,Yenangyoung,MMR009002
 Wooden house,1558,9147,10705,Yenangyoung,MMR009002
 Bamboo,7047,10555,17602,Yenangyoung,MMR009002
 Hut 2 - 3 years,71,619,690,Yenangyoung,MMR009002
 Hut 1 year,30,249,279,Yenangyoung,MMR009002
 Other,57,224,281,Yenangyoung,MMR009002
 Total,10676,21824,32500,Yenangyoung,MMR009002
