Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,421,13,434,Toungup,MMR012016
 Bungalow/Brick house,189,37,226,Toungup,MMR012016
 Semi-pacca house,642,86,728,Toungup,MMR012016
 Wooden house,4501,14956,19457,Toungup,MMR012016
 Bamboo,351,2964,3315,Toungup,MMR012016
 Hut 2 - 3 years,19,681,700,Toungup,MMR012016
 Hut 1 year,5,202,207,Toungup,MMR012016
 Other,50,122,172,Toungup,MMR012016
 Total,6178,19061,25239,Toungup,MMR012016
