Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,210,286,496,Myaungmya,MMR017014
 Bungalow/Brick house,1005,610,1615,Myaungmya,MMR017014
 Semi-pacca house,968,1166,2134,Myaungmya,MMR017014
 Wooden house,6766,26311,33077,Myaungmya,MMR017014
 Bamboo,2944,22196,25140,Myaungmya,MMR017014
 Hut 2 - 3 years,280,1754,2034,Myaungmya,MMR017014
 Hut 1 year,149,781,930,Myaungmya,MMR017014
 Other,191,555,746,Myaungmya,MMR017014
 Total,12513,53659,66172,Myaungmya,MMR017014
