Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,8,9,17,Myebon,MMR012006
 Bungalow/Brick house,256,147,403,Myebon,MMR012006
 Semi-pacca house,91,250,341,Myebon,MMR012006
 Wooden house,878,16042,16920,Myebon,MMR012006
 Bamboo,869,11214,12083,Myebon,MMR012006
 Hut 2 - 3 years,36,692,728,Myebon,MMR012006
 Hut 1 year,52,232,284,Myebon,MMR012006
 Other,428,135,563,Myebon,MMR012006
 Total,2618,28721,31339,Myebon,MMR012006
