Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Flush,17,41,58,Kyaukkyi,MMR007011
 Water seal (Improved pit latrine),1945,14576,16521,Kyaukkyi,MMR007011
 Pit (Traditional pit latrine),31,342,373,Kyaukkyi,MMR007011
 Bucket (Surface latrine),15,697,712,Kyaukkyi,MMR007011
 Other,8,374,382,Kyaukkyi,MMR007011
 No toilet,242,4595,4837,Kyaukkyi,MMR007011
 Total,2258,20625,22883,Kyaukkyi,MMR007011
