Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),33724,62538,96262,Thanbyuzayat,MMR011004
 Associate Scrutiny Card (blue),14,45,59,Thanbyuzayat,MMR011004
 Naturalised Scrutiny Card (green),146,176,322,Thanbyuzayat,MMR011004
 National Registration Card (3-fold),666,748,1414,Thanbyuzayat,MMR011004
 Religious card,640,533,1173,Thanbyuzayat,MMR011004
 Temporary Registration Card (white),153,318,471,Thanbyuzayat,MMR011004
 Foreign Registration Card (FRC),-,5,5,Thanbyuzayat,MMR011004
 Foreign Passport,9,15,24,Thanbyuzayat,MMR011004
 None,12169,25409,37578,Thanbyuzayat,MMR011004
 Child under 10 years,9687,23541,33228,Thanbyuzayat,MMR011004
 Total,57208,113328,170536,Thanbyuzayat,MMR011004
