Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1654,365,2019,Chinshwehaw(ST),MMR015022
 Naturalised Scrutiny Card (green),19,6,25,Chinshwehaw(ST),MMR015022
 National Registration Card (3-fold),296,485,781,Chinshwehaw(ST),MMR015022
 Religious card,15,-,15,Chinshwehaw(ST),MMR015022
 Temporary Registration Card (white),12,-,12,Chinshwehaw(ST),MMR015022
 Foreign Registration Card (FRC),96,1,97,Chinshwehaw(ST),MMR015022
 Foreign Passport,3,-,3,Chinshwehaw(ST),MMR015022
 None,481,450,931,Chinshwehaw(ST),MMR015022
 Child under 10 years,562,444,1006,Chinshwehaw(ST),MMR015022
 Total,3138,1751,4889,Chinshwehaw(ST),MMR015022
