Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6253,40437,46690,Kyaukkyi,MMR007011
 Associate Scrutiny Card (blue),7,31,38,Kyaukkyi,MMR007011
 Naturalised Scrutiny Card (green),13,464,477,Kyaukkyi,MMR007011
 National Registration Card (3-fold),73,889,962,Kyaukkyi,MMR007011
 Religious card,54,425,479,Kyaukkyi,MMR007011
 Temporary Registration Card (white),47,471,518,Kyaukkyi,MMR007011
 Foreign Registration Card (FRC),-,1,1,Kyaukkyi,MMR007011
 Foreign Passport,3,54,57,Kyaukkyi,MMR007011
 None,2190,35159,37349,Kyaukkyi,MMR007011
 Child under 10 years,2175,24583,26758,Kyaukkyi,MMR007011
 Total,10815,102514,113329,Kyaukkyi,MMR007011
