Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),57460,22994,80454,Sittway,MMR012001
 Associate Scrutiny Card (blue),39,18,57,Sittway,MMR012001
 Naturalised Scrutiny Card (green),820,88,908,Sittway,MMR012001
 National Registration Card (3-fold),686,350,1036,Sittway,MMR012001
 Religious card,1036,85,1121,Sittway,MMR012001
 Temporary Registration Card (white),1084,292,1376,Sittway,MMR012001
 Foreign Registration Card (FRC),16,2,18,Sittway,MMR012001
 Foreign Passport,166,28,194,Sittway,MMR012001
 None,24921,14290,39211,Sittway,MMR012001
 Child under 10 years,14520,9004,23524,Sittway,MMR012001
 Total,100748,47151,147899,Sittway,MMR012001
