Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17125,21707,38832,Panglong(ST),MMR014011
 Associate Scrutiny Card (blue),25,11,36,Panglong(ST),MMR014011
 Naturalised Scrutiny Card (green),96,19,115,Panglong(ST),MMR014011
 National Registration Card (3-fold),94,96,190,Panglong(ST),MMR014011
 Religious card,110,146,256,Panglong(ST),MMR014011
 Temporary Registration Card (white),23,14,37,Panglong(ST),MMR014011
 Foreign Registration Card (FRC),3,-,3,Panglong(ST),MMR014011
 Foreign Passport,1,6,7,Panglong(ST),MMR014011
 None,4703,11682,16385,Panglong(ST),MMR014011
 Child under 10 years,4935,11390,16325,Panglong(ST),MMR014011
 Total,27115,45071,72186,Panglong(ST),MMR014011
