Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10798,8328,19126,Thandaunggyi,MMR003004
 Associate Scrutiny Card (blue),10,9,19,Thandaunggyi,MMR003004
 Naturalised Scrutiny Card (green),26,34,60,Thandaunggyi,MMR003004
 National Registration Card (3-fold),78,59,137,Thandaunggyi,MMR003004
 Religious card,12,7,19,Thandaunggyi,MMR003004
 Temporary Registration Card (white),54,48,102,Thandaunggyi,MMR003004
 Foreign Passport,-,2,2,Thandaunggyi,MMR003004
 None,1585,2184,3769,Thandaunggyi,MMR003004
 Child under 10 years,3493,3482,6975,Thandaunggyi,MMR003004
 Total,16056,14153,30209,Thandaunggyi,MMR003004
