Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8899,56543,65442,Kyunhlau,MMR005008
 Associate Scrutiny Card (blue),1,4,5,Kyunhlau,MMR005008
 Naturalised Scrutiny Card (green),14,34,48,Kyunhlau,MMR005008
 National Registration Card (3-fold),2,72,74,Kyunhlau,MMR005008
 Religious card,55,258,313,Kyunhlau,MMR005008
 Temporary Registration Card (white),25,156,181,Kyunhlau,MMR005008
 Foreign Registration Card (FRC),-,2,2,Kyunhlau,MMR005008
 Foreign Passport,1,3,4,Kyunhlau,MMR005008
 None,1274,16805,18079,Kyunhlau,MMR005008
 Child under 10 years,1877,18062,19939,Kyunhlau,MMR005008
 Total,12148,91939,104087,Kyunhlau,MMR005008
