Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2256,36138,38394,Kyauktalongyi(ST),MMR014001
 Associate Scrutiny Card (blue),-,5,5,Kyauktalongyi(ST),MMR014001
 Naturalised Scrutiny Card (green),-,7,7,Kyauktalongyi(ST),MMR014001
 National Registration Card (3-fold),-,72,72,Kyauktalongyi(ST),MMR014001
 Religious card,13,159,172,Kyauktalongyi(ST),MMR014001
 Temporary Registration Card (white),-,23,23,Kyauktalongyi(ST),MMR014001
 Foreign Registration Card (FRC),-,1,1,Kyauktalongyi(ST),MMR014001
 Foreign Passport,-,7,7,Kyauktalongyi(ST),MMR014001
 None,172,5702,5874,Kyauktalongyi(ST),MMR014001
 Child under 10 years,725,11137,11862,Kyauktalongyi(ST),MMR014001
 Total,3166,53251,56417,Kyauktalongyi(ST),MMR014001
