Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),87979,75014,162993,Pyay,MMR008001
 Associate Scrutiny Card (blue),226,21,247,Pyay,MMR008001
 Naturalised Scrutiny Card (green),738,124,862,Pyay,MMR008001
 National Registration Card (3-fold),1016,1513,2529,Pyay,MMR008001
 Religious card,2294,516,2810,Pyay,MMR008001
 Temporary Registration Card (white),1681,596,2277,Pyay,MMR008001
 Foreign Registration Card (FRC),90,14,104,Pyay,MMR008001
 Foreign Passport,53,39,92,Pyay,MMR008001
 None,22844,24096,46940,Pyay,MMR008001
 Child under 10 years,17940,14849,32789,Pyay,MMR008001
 Total,134861,116782,251643,Pyay,MMR008001
