Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1285,6036,7321,Dotphoneyan(ST),MMR001012
 Naturalised Scrutiny Card (green),1,8,9,Dotphoneyan(ST),MMR001012
 National Registration Card (3-fold),10,58,68,Dotphoneyan(ST),MMR001012
 Religious card,2,34,36,Dotphoneyan(ST),MMR001012
 Temporary Registration Card (white),6,32,38,Dotphoneyan(ST),MMR001012
 None,239,1274,1513,Dotphoneyan(ST),MMR001012
 Child under 10 years,338,1990,2328,Dotphoneyan(ST),MMR001012
 Total,1881,9432,11313,Dotphoneyan(ST),MMR001012
