Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3574,22706,26280,Kyaukhtu(ST),MMR009025
 Associate Scrutiny Card (blue),4,4,8,Kyaukhtu(ST),MMR009025
 Naturalised Scrutiny Card (green),-,17,17,Kyaukhtu(ST),MMR009025
 National Registration Card (3-fold),4,34,38,Kyaukhtu(ST),MMR009025
 Religious card,6,91,97,Kyaukhtu(ST),MMR009025
 Temporary Registration Card (white),2,5,7,Kyaukhtu(ST),MMR009025
 None,320,1427,1747,Kyaukhtu(ST),MMR009025
 Child under 10 years,701,3970,4671,Kyaukhtu(ST),MMR009025
 Total,4611,28254,32865,Kyaukhtu(ST),MMR009025
