Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9324,55728,65052,Hainggyikyun(ST),MMR017004
 Associate Scrutiny Card (blue),5,36,41,Hainggyikyun(ST),MMR017004
 Naturalised Scrutiny Card (green),14,66,80,Hainggyikyun(ST),MMR017004
 National Registration Card (3-fold),22,557,579,Hainggyikyun(ST),MMR017004
 Religious card,44,236,280,Hainggyikyun(ST),MMR017004
 Temporary Registration Card (white),11,86,97,Hainggyikyun(ST),MMR017004
 Foreign Registration Card (FRC),4,11,15,Hainggyikyun(ST),MMR017004
 Foreign Passport,4,12,16,Hainggyikyun(ST),MMR017004
 None,2925,24487,27412,Hainggyikyun(ST),MMR017004
 Child under 10 years,2441,18496,20937,Hainggyikyun(ST),MMR017004
 Total,14794,99715,114509,Hainggyikyun(ST),MMR017004
