Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3849,69712,73561,Kyunsu,MMR006006
 Associate Scrutiny Card (blue),-,40,40,Kyunsu,MMR006006
 Naturalised Scrutiny Card (green),5,139,144,Kyunsu,MMR006006
 National Registration Card (3-fold),54,1944,1998,Kyunsu,MMR006006
 Religious card,12,267,279,Kyunsu,MMR006006
 Temporary Registration Card (white),6,199,205,Kyunsu,MMR006006
 Foreign Registration Card (FRC),-,4,4,Kyunsu,MMR006006
 Foreign Passport,-,47,47,Kyunsu,MMR006006
 None,581,50348,50929,Kyunsu,MMR006006
 Child under 10 years,1041,43505,44546,Kyunsu,MMR006006
 Total,5548,166205,171753,Kyunsu,MMR006006
