Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),34086,74224,108310,Nyaunglebin,MMR007005
 Associate Scrutiny Card (blue),74,24,98,Nyaunglebin,MMR007005
 Naturalised Scrutiny Card (green),260,147,407,Nyaunglebin,MMR007005
 National Registration Card (3-fold),426,257,683,Nyaunglebin,MMR007005
 Religious card,382,487,869,Nyaunglebin,MMR007005
 Temporary Registration Card (white),94,89,183,Nyaunglebin,MMR007005
 Foreign Registration Card (FRC),26,3,29,Nyaunglebin,MMR007005
 Foreign Passport,19,20,39,Nyaunglebin,MMR007005
 None,13366,36839,50205,Nyaunglebin,MMR007005
 Child under 10 years,10511,28149,38660,Nyaunglebin,MMR007005
 Total,59244,140239,199483,Nyaunglebin,MMR007005
