Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14109,66091,80200,Kyaukpyu,MMR012011
 Associate Scrutiny Card (blue),7,43,50,Kyaukpyu,MMR012011
 Naturalised Scrutiny Card (green),26,86,112,Kyaukpyu,MMR012011
 National Registration Card (3-fold),40,618,658,Kyaukpyu,MMR012011
 Religious card,102,430,532,Kyaukpyu,MMR012011
 Temporary Registration Card (white),97,292,389,Kyaukpyu,MMR012011
 Foreign Registration Card (FRC),7,-,7,Kyaukpyu,MMR012011
 Foreign Passport,10,669,679,Kyaukpyu,MMR012011
 None,3709,47342,51051,Kyaukpyu,MMR012011
 Child under 10 years,2759,28915,31674,Kyaukpyu,MMR012011
 Total,20866,144486,165352,Kyaukpyu,MMR012011
