Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),32872,94776,127648,Aunglan,MMR009016
 Associate Scrutiny Card (blue),109,57,166,Aunglan,MMR009016
 Naturalised Scrutiny Card (green),227,237,464,Aunglan,MMR009016
 National Registration Card (3-fold),473,3287,3760,Aunglan,MMR009016
 Religious card,426,501,927,Aunglan,MMR009016
 Temporary Registration Card (white),90,149,239,Aunglan,MMR009016
 Foreign Registration Card (FRC),19,1,20,Aunglan,MMR009016
 Foreign Passport,15,52,67,Aunglan,MMR009016
 None,9989,53431,63420,Aunglan,MMR009016
 Child under 10 years,8267,30244,38511,Aunglan,MMR009016
 Total,52487,182735,235222,Aunglan,MMR009016
