Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8009,52780,60789,Tanatpin,MMR007002
 Associate Scrutiny Card (blue),28,65,93,Tanatpin,MMR007002
 Naturalised Scrutiny Card (green),204,1407,1611,Tanatpin,MMR007002
 National Registration Card (3-fold),98,474,572,Tanatpin,MMR007002
 Religious card,96,411,507,Tanatpin,MMR007002
 Temporary Registration Card (white),78,151,229,Tanatpin,MMR007002
 Foreign Registration Card (FRC),4,13,17,Tanatpin,MMR007002
 Foreign Passport,8,30,38,Tanatpin,MMR007002
 None,4295,44000,48295,Tanatpin,MMR007002
 Child under 10 years,3002,30134,33136,Tanatpin,MMR007002
 Total,15822,129465,145287,Tanatpin,MMR007002
