Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),178637,68838,247475,Taunggyi,MMR014001
 Associate Scrutiny Card (blue),906,217,1123,Taunggyi,MMR014001
 Naturalised Scrutiny Card (green),1118,215,1333,Taunggyi,MMR014001
 National Registration Card (3-fold),2590,728,3318,Taunggyi,MMR014001
 Religious card,2399,378,2777,Taunggyi,MMR014001
 Temporary Registration Card (white),439,99,538,Taunggyi,MMR014001
 Foreign Registration Card (FRC),78,29,107,Taunggyi,MMR014001
 Foreign Passport,93,43,136,Taunggyi,MMR014001
 None,37573,22479,60052,Taunggyi,MMR014001
 Child under 10 years,40971,23809,64780,Taunggyi,MMR014001
 Total,264804,116835,381639,Taunggyi,MMR014001
