Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),735,708,1443,Sumprabum,MMR001015
 Naturalised Scrutiny Card (green),-,3,3,Sumprabum,MMR001015
 National Registration Card (3-fold),2,5,7,Sumprabum,MMR001015
 Religious card,1,1,2,Sumprabum,MMR001015
 Temporary Registration Card (white),2,29,31,Sumprabum,MMR001015
 None,155,261,416,Sumprabum,MMR001015
 Child under 10 years,242,402,644,Sumprabum,MMR001015
 Total,1137,1409,2546,Sumprabum,MMR001015
