Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8432,19772,28204,Namtu,MMR015015
 Associate Scrutiny Card (blue),24,21,45,Namtu,MMR015015
 Naturalised Scrutiny Card (green),215,370,585,Namtu,MMR015015
 National Registration Card (3-fold),190,759,949,Namtu,MMR015015
 Religious card,64,91,155,Namtu,MMR015015
 Temporary Registration Card (white),19,89,108,Namtu,MMR015015
 Foreign Registration Card (FRC),18,31,49,Namtu,MMR015015
 Foreign Passport,12,3,15,Namtu,MMR015015
 None,1958,7436,9394,Namtu,MMR015015
 Child under 10 years,2366,8553,10919,Namtu,MMR015015
 Total,13298,37125,50423,Namtu,MMR015015
