Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4588,93342,97930,Pwint Phyu,MMR009008
 Associate Scrutiny Card (blue),-,40,40,Pwint Phyu,MMR009008
 Naturalised Scrutiny Card (green),2,158,160,Pwint Phyu,MMR009008
 National Registration Card (3-fold),5,974,979,Pwint Phyu,MMR009008
 Religious card,42,618,660,Pwint Phyu,MMR009008
 Temporary Registration Card (white),4,160,164,Pwint Phyu,MMR009008
 Foreign Registration Card (FRC),6,1,7,Pwint Phyu,MMR009008
 Foreign Passport,1,20,21,Pwint Phyu,MMR009008
 None,775,34255,35030,Pwint Phyu,MMR009008
 Child under 10 years,927,27774,28701,Pwint Phyu,MMR009008
 Total,6350,157342,163692,Pwint Phyu,MMR009008
