Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29305,82773,112078,Thaton,MMR011007
 Associate Scrutiny Card (blue),32,51,83,Thaton,MMR011007
 Naturalised Scrutiny Card (green),390,411,801,Thaton,MMR011007
 National Registration Card (3-fold),2397,2032,4429,Thaton,MMR011007
 Religious card,875,1134,2009,Thaton,MMR011007
 Temporary Registration Card (white),78,544,622,Thaton,MMR011007
 Foreign Registration Card (FRC),8,3,11,Thaton,MMR011007
 Foreign Passport,24,73,97,Thaton,MMR011007
 None,12745,55055,67800,Thaton,MMR011007
 Child under 10 years,9193,40983,50176,Thaton,MMR011007
 Total,55047,183059,238106,Thaton,MMR011007
