Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),70087,84234,154321,Toungoo,MMR007009
 Associate Scrutiny Card (blue),244,58,302,Toungoo,MMR007009
 Naturalised Scrutiny Card (green),1470,378,1848,Toungoo,MMR007009
 National Registration Card (3-fold),2261,1474,3735,Toungoo,MMR007009
 Religious card,918,635,1553,Toungoo,MMR007009
 Temporary Registration Card (white),484,796,1280,Toungoo,MMR007009
 Foreign Registration Card (FRC),70,14,84,Toungoo,MMR007009
 Foreign Passport,26,45,71,Toungoo,MMR007009
 None,17231,34705,51936,Toungoo,MMR007009
 Child under 10 years,15798,31128,46926,Toungoo,MMR007009
 Total,108589,153467,262056,Toungoo,MMR007009
