Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17242,91574,108816,Kyauktaga,MMR007006
 Associate Scrutiny Card (blue),92,144,236,Kyauktaga,MMR007006
 Naturalised Scrutiny Card (green),1241,12129,13370,Kyauktaga,MMR007006
 National Registration Card (3-fold),236,601,837,Kyauktaga,MMR007006
 Religious card,185,523,708,Kyauktaga,MMR007006
 Temporary Registration Card (white),125,644,769,Kyauktaga,MMR007006
 Foreign Registration Card (FRC),13,21,34,Kyauktaga,MMR007006
 Foreign Passport,13,40,53,Kyauktaga,MMR007006
 None,6809,65565,72374,Kyauktaga,MMR007006
 Child under 10 years,5700,48315,54015,Kyauktaga,MMR007006
 Total,31656,219556,251212,Kyauktaga,MMR007006
