Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2666,35561,38227,Namsan(North),MMR015016
 Associate Scrutiny Card (blue),87,41,128,Namsan(North),MMR015016
 Naturalised Scrutiny Card (green),91,121,212,Namsan(North),MMR015016
 National Registration Card (3-fold),27,555,582,Namsan(North),MMR015016
 Religious card,58,458,516,Namsan(North),MMR015016
 Temporary Registration Card (white),2,81,83,Namsan(North),MMR015016
 Foreign Registration Card (FRC),19,16,35,Namsan(North),MMR015016
 Foreign Passport,-,11,11,Namsan(North),MMR015016
 None,518,15855,16373,Namsan(North),MMR015016
 Child under 10 years,670,15367,16037,Namsan(North),MMR015016
 Total,4138,68066,72204,Namsan(North),MMR015016
