Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1032,3618,4650,Manhero(ST),MMR015009
 Naturalised Scrutiny Card (green),-,12,12,Manhero(ST),MMR015009
 National Registration Card (3-fold),71,328,399,Manhero(ST),MMR015009
 Religious card,6,14,20,Manhero(ST),MMR015009
 Temporary Registration Card (white),-,3,3,Manhero(ST),MMR015009
 Foreign Registration Card (FRC),1,10,11,Manhero(ST),MMR015009
 None,105,510,615,Manhero(ST),MMR015009
 Child under 10 years,223,854,1077,Manhero(ST),MMR015009
 Total,1438,5349,6787,Manhero(ST),MMR015009
