Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),219,532,751,Monehta(ST),MMR016008
 Associate Scrutiny Card (blue),-,2,2,Monehta(ST),MMR016008
 Naturalised Scrutiny Card (green),-,3,3,Monehta(ST),MMR016008
 National Registration Card (3-fold),-,1,1,Monehta(ST),MMR016008
 Religious card,1,5,6,Monehta(ST),MMR016008
 Temporary Registration Card (white),1,93,94,Monehta(ST),MMR016008
 Foreign Passport,-,1,1,Monehta(ST),MMR016008
 None,119,2123,2242,Monehta(ST),MMR016008
 Child under 10 years,64,1112,1176,Monehta(ST),MMR016008
 Total,404,3872,4276,Monehta(ST),MMR016008
