Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15429,112093,127522,Kyonpyaw,MMR017005
 Associate Scrutiny Card (blue),20,50,70,Kyonpyaw,MMR017005
 Naturalised Scrutiny Card (green),26,167,193,Kyonpyaw,MMR017005
 National Registration Card (3-fold),53,682,735,Kyonpyaw,MMR017005
 Religious card,168,517,685,Kyonpyaw,MMR017005
 Temporary Registration Card (white),29,76,105,Kyonpyaw,MMR017005
 Foreign Registration Card (FRC),-,1,1,Kyonpyaw,MMR017005
 Foreign Passport,3,16,19,Kyonpyaw,MMR017005
 None,4551,57166,61717,Kyonpyaw,MMR017005
 Child under 10 years,3687,40993,44680,Kyonpyaw,MMR017005
 Total,23966,211761,235727,Kyonpyaw,MMR017005
