Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14051,20679,34730,Payarthonezu(ST),MMR003007
 Associate Scrutiny Card (blue),30,18,48,Payarthonezu(ST),MMR003007
 Naturalised Scrutiny Card (green),86,66,152,Payarthonezu(ST),MMR003007
 National Registration Card (3-fold),402,488,890,Payarthonezu(ST),MMR003007
 Religious card,190,158,348,Payarthonezu(ST),MMR003007
 Temporary Registration Card (white),259,155,414,Payarthonezu(ST),MMR003007
 Foreign Registration Card (FRC),7,16,23,Payarthonezu(ST),MMR003007
 Foreign Passport,13,39,52,Payarthonezu(ST),MMR003007
 None,6995,24665,31660,Payarthonezu(ST),MMR003007
 Child under 10 years,5278,16889,22167,Payarthonezu(ST),MMR003007
 Total,27311,63173,90484,Payarthonezu(ST),MMR003007
