Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1875,2129,2241,2401,2316,2364,2369,2287,2269,2118,2657,2187,2302,2328,1874,1855,1439,1296,1456,1011,1447,962,1051,1130,901,1257,932,964,1193,812,1590,783,1034,951,821,1352,864,927,1191,781,1769,731,1129,881,809,1494,788,759,969,645,1585,519,755,810,659,1020,704,565,611,339,1263,304,361,450,318,680,257,304,228,118,621,73,120,139,100,247,100,65,106,29,211,25,33,23,22,51,16,10,7,3,67,85609,Paingkyon(ST),MMR003002
 Yes - some difficulty,69,43,29,12,9,5,12,7,7,4,7,5,4,4,3,7,4,1,5,3,3,2,7,4,6,5,3,6,3,2,7,2,2,2,4,7,4,6,10,4,14,12,16,10,21,33,17,11,8,7,43,12,24,15,28,45,34,26,27,20,107,22,41,47,29,87,42,47,38,20,167,24,44,48,36,105,37,21,58,20,102,11,15,21,16,31,10,11,9,7,43,2068,Paingkyon(ST),MMR003002
 Yes - a lot of difficulty,43,6,6,4,2,5,2,3,4,2,1,1,3,3,2,2,6,5,5,1,3,1,2,-,1,2,2,2,4,1,4,-,6,2,3,2,3,1,4,2,8,1,3,6,3,8,4,3,3,2,10,4,6,5,5,7,4,5,7,1,12,2,2,10,8,19,3,5,9,6,43,4,11,10,8,26,9,4,11,4,61,3,8,9,9,21,8,10,6,4,50,641,Paingkyon(ST),MMR003002
 Yes - cannot walk at all,19,3,7,2,5,4,3,3,5,2,2,1,4,2,2,3,4,4,2,2,5,-,1,-,2,1,4,-,3,1,4,2,1,-,1,3,3,1,-,2,5,-,1,-,2,4,2,4,2,1,2,1,1,1,-,1,-,4,1,1,6,-,6,-,2,8,3,7,1,2,13,-,3,3,4,8,3,5,6,-,11,4,6,1,5,6,1,2,3,1,20,286,Paingkyon(ST),MMR003002
 Total,2006,2181,2283,2419,2332,2378,2386,2300,2285,2126,2667,2194,2313,2337,1881,1867,1453,1306,1468,1017,1458,965,1061,1134,910,1265,941,972,1203,816,1605,787,1043,955,829,1364,874,935,1205,789,1796,744,1149,897,835,1539,811,777,982,655,1640,536,786,831,692,1073,742,600,646,361,1388,328,410,507,357,794,305,363,276,146,844,101,178,200,148,386,149,95,181,53,385,43,62,54,52,109,35,33,25,15,180,88604,Paingkyon(ST),MMR003002
