Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2949,2933,2904,3243,3542,3270,3338,3376,3387,3612,3593,3692,4029,4553,4449,4063,4084,4354,5057,4617,5322,4237,4131,4156,4011,4727,3938,4235,4674,4158,5181,3816,4116,4092,3646,4442,3529,3664,4172,3630,4349,3171,4096,3662,3137,4296,3076,3214,3501,2910,3676,2658,2982,3265,2818,3228,2631,2346,2471,2072,2740,1733,1865,1802,1508,1768,1162,1224,871,634,1018,555,687,747,664,1120,609,501,627,326,594,357,360,373,268,312,193,136,111,105,309,247760,Pyay,MMR008001
 Yes - some difficulty,54,26,15,11,11,5,7,5,4,10,6,9,10,10,4,8,9,6,4,3,6,4,9,6,2,12,5,7,9,8,15,7,17,15,8,15,8,12,17,10,21,17,22,26,29,29,24,21,31,26,44,31,34,38,52,60,57,42,44,48,61,25,55,59,42,77,41,70,47,31,62,33,48,47,52,107,60,65,75,45,85,70,52,61,36,75,43,45,24,18,116,2832,Pyay,MMR008001
 Yes - a lot of difficulty,22,3,3,1,-,2,5,1,4,2,2,2,3,6,2,5,4,1,2,2,1,1,4,3,1,3,4,5,3,1,6,2,2,5,4,5,1,5,4,2,5,4,3,4,8,8,3,2,7,5,4,1,3,6,12,12,8,5,6,4,12,9,10,7,8,18,9,10,5,6,15,7,9,20,10,23,14,15,14,9,24,14,11,22,14,14,12,8,6,7,34,640,Pyay,MMR008001
 Yes - cannot walk at all,9,5,5,2,5,3,5,5,-,5,5,2,6,3,2,-,4,2,1,2,2,3,1,1,2,1,3,1,2,-,-,2,5,4,2,4,2,2,2,1,1,3,-,-,3,4,7,6,6,1,4,7,2,1,4,3,10,7,1,3,9,4,6,8,7,9,4,6,2,4,8,4,5,7,6,9,6,6,13,7,8,10,9,7,7,11,12,5,3,3,22,411,Pyay,MMR008001
 Total,3034,2967,2927,3257,3558,3280,3355,3387,3395,3629,3606,3705,4048,4572,4457,4076,4101,4363,5064,4624,5331,4245,4145,4166,4016,4743,3950,4248,4688,4167,5202,3827,4140,4116,3660,4466,3540,3683,4195,3643,4376,3195,4121,3692,3177,4337,3110,3243,3545,2942,3728,2697,3021,3310,2886,3303,2706,2400,2522,2127,2822,1771,1936,1876,1565,1872,1216,1310,925,675,1103,599,749,821,732,1259,689,587,729,387,711,451,432,463,325,412,260,194,144,133,481,251643,Pyay,MMR008001
